order_date,order_id,buyer_code,marketplace,product_id,product_category,order_quantity,price_unit,price_unit_vat,carrier,customer_postal,customer_destination
2019-01-01 07:01:23,1054754,1,BUKALAPAK,67664,Outdoor,1," 254,409 "," 279,850 ",JNE REG,17425,Jawa Barat
2019-01-01 09:01:27,1054755,2,BUKALAPAK,68831,Lifestyle,1," 181,681 "," 199,849 ",JNE REG,30119,Sumatera Selatan
2019-01-01 09:01:38,1054947,3,TOKOPEDIA,64689,Lifestyle,1," 403,500 "," 443,850 ",JNE REG,50146,Jawa Tengah
2019-01-01 10:01:17,1054948,4,TOKOPEDIA,64106,Lifestyle,1," 340,772 "," 374,849 ",JNE REG,16830,Jawa Barat
2019-01-01 10:01:39,1054949,5,TOKOPEDIA,67677,Outdoor,1," 103,500 "," 113,850 ",TIKI - REG,11750,DKI Jakarta
2019-01-01 10:01:11,1054950,6,TOKOPEDIA,68925,Work,1," 218,045 "," 239,850 ",JNE REG,11320,DKI Jakarta
2019-01-01 10:01:07,1054753,7,BUKALAPAK,67473,Riding,1," 90,772 "," 99,849 ",Tiki REG,12720,DKI Jakarta
2019-01-01 11:01:50,1056263,8,BUKALAPAK,67674,Outdoor,1," 103,500 "," 113,850 ",Tiki REG,40132,Jawa Barat
2019-01-01 11:01:32,1054750,9,BUKALAPAK,68221,Outdoor,1," 345,318 "," 379,850 ",JNE REG,13440,DKI Jakarta
2019-01-01 11:01:34,1054951,10,TOKOPEDIA,67280,Outdoor,1," 277,136 "," 304,850 ",TIKI - REG,46263,Jawa Barat
2019-01-01 11:01:30,1054728,11,BUKALAPAK,67580,Outdoor,1," 399,863 "," 439,849 ",Tiki REG,10520,DKI Jakarta
2019-01-01 11:01:45,1054732,12,BUKALAPAK,64689,Lifestyle,1," 403,500 "," 443,850 ",Tiki REG,58181,Jawa Tengah
2019-01-01 12:01:39,1054952,13,TOKOPEDIA,67524,Riding,1," 104,409 "," 114,850 ",TIKI - REG,40171,Jawa Barat
2019-01-01 12:01:50,1054746,14,BUKALAPAK,60438,Outdoor,1," 193,500 "," 212,850 ",Tiki REG,34164,Lampung
2019-01-01 13:01:29,1054744,15,BUKALAPAK,70979,Outdoor,2," 81,681 "," 89,849 ",JNE REG,40618,Jawa Barat
2019-01-01 13:01:59,1054737,16,BUKALAPAK,67282,Lifestyle,1," 481,681 "," 529,849 ",Tiki REG,17523,Jawa Barat
2019-01-01 13:01:47,1054735,17,BUKALAPAK,66906,Work,1," 436,227 "," 479,850 ",Tiki REG,10410,DKI Jakarta
2019-01-01 13:01:35,1054953,18,TOKOPEDIA,71106,Outdoor,1," 90,772 "," 99,849 ",J&T REG,45217,Jawa Barat
2019-01-01 13:01:34,1054954,19,TOKOPEDIA,67077,Lifestyle,1," 254,409 "," 279,850 ",JNE REG,13230,DKI Jakarta
2019-01-01 15:01:47,1054733,20,BUKALAPAK,67665,Outdoor,1," 149,863 "," 164,849 ",Tiki REG,16417,Jawa Barat
2019-01-01 16:01:39,1054730,21,BUKALAPAK,60249,Outdoor,1," 418,045 "," 459,850 ",Tiki REG,13850,DKI Jakarta
2019-01-01 16:01:42,1054720,22,BUKALAPAK,60286,Outdoor,1," 81,681 "," 89,849 ",Tiki REG,17811,Jawa Barat
2019-01-01 17:01:09,1054724,23,BUKALAPAK,63153,Outdoor,1," 203,500 "," 223,850 ",JNE REG,12270,DKI Jakarta
2019-01-01 17:01:09,1054724,23,BUKALAPAK,70984,Lifestyle,1," 81,681 "," 89,849 ",JNE REG,12270,DKI Jakarta
2019-01-01 17:01:17,1054955,24,TOKOPEDIA,71185,Lifestyle,1," 227,136 "," 249,850 ",JNE REG,12790,DKI Jakarta
2019-01-01 17:01:42,1054956,25,TOKOPEDIA,64682,Outdoor,1," 190,772 "," 209,849 ",JNE REG,17413,Jawa Barat
2019-01-01 17:01:51,1054957,26,TOKOPEDIA,68886,Work,1," 445,318 "," 489,850 ",JNE REG,16820,Jawa Barat
2019-01-01 17:01:55,1054958,27,TOKOPEDIA,60228,Work,1," 445,318 "," 489,850 ",TIKI - REG,11140,DKI Jakarta
2019-01-01 17:01:43,1054959,28,TOKOPEDIA,61568,Outdoor,1," 203,500 "," 223,850 ",JNE REG,12510,DKI Jakarta
2019-01-01 17:01:39,1054960,29,TOKOPEDIA,74770,Outdoor,1," 172,590 "," 189,849 ",TIKI - REG,17144,Jawa Barat
2019-01-01 17:01:36,1054718,30,BUKALAPAK,68848,Work,1," 308,954 "," 339,849 ",Tiki REG,17113,Jawa Barat
2019-01-01 18:01:46,1054961,31,TOKOPEDIA,67667,Outdoor,1," 172,590 "," 189,849 ",JNE REG,15412,Banten
2019-01-01 18:01:50,1054716,32,BUKALAPAK,74761,Outdoor,1," 172,590 "," 189,849 ",JNE REG,14240,DKI Jakarta
2019-01-01 18:01:13,1054713,33,BUKALAPAK,70979,Outdoor,1," 81,681 "," 89,849 ",Tiki REG,36159,Jambi
2019-01-01 19:01:52,1054706,34,BUKALAPAK,65189,Lifestyle,1," 345,318 "," 379,850 ",Tiki REG,16451,Jawa Barat
2019-01-01 20:01:50,1054962,35,TOKOPEDIA,60488,Riding,1," 127,136 "," 139,850 ",J&T REG,45192,Jawa Barat
2019-01-01 20:01:46,1054705,36,BUKALAPAK,63001,Lifestyle,1," 149,863 "," 164,849 ",Tiki REG,92965,Sulawesi Selatan
2019-01-01 20:01:07,1054963,37,TOKOPEDIA,60178,Outdoor,1," 213,500 "," 234,850 ",JNE REG,74355,Kalimantan Tengah
2019-01-01 21:01:11,1054964,38,TOKOPEDIA,68813,Outdoor,1," 172,590 "," 189,849 ",JNE REG,60252,Jawa Timur
2019-01-01 21:01:42,1055417,39,BUKALAPAK,68817,Lifestyle,1," 433,500 "," 476,850 ",JNE REG,15520,Banten
2019-01-01 22:01:52,1056090,40,TOKOPEDIA,67382,Outdoor,1," 240,772 "," 264,849 ",TIKI - REG,72275,Kalimantan Selatan
2019-01-01 22:01:52,1056090,40,TOKOPEDIA,68230,Outdoor,1," 149,863 "," 164,849 ",TIKI - REG,72275,Kalimantan Selatan
2019-01-01 22:01:52,1056090,40,TOKOPEDIA,71148,Outdoor,2," 90,772 "," 99,849 ",TIKI - REG,72275,Kalimantan Selatan
2019-01-01 22:01:52,1056090,40,TOKOPEDIA,66881,Work,2," 240,772 "," 264,849 ",TIKI - REG,72275,Kalimantan Selatan
2019-01-01 22:01:52,1056090,40,TOKOPEDIA,71181,Outdoor,1," 72,590 "," 79,849 ",TIKI - REG,72275,Kalimantan Selatan
2019-01-01 23:01:34,1055272,41,BUKALAPAK,71902,Outdoor,1," 54,409 "," 59,850 ",Tiki REG,16517,Jawa Barat
2019-01-01 23:01:57,1056261,42,TOKOPEDIA,67612,Outdoor,1," 193,500 "," 212,850 ",JNE REG,10110,DKI Jakarta
2019-01-02 00:01:00,SO27743,43,ZILINGO,64761,Lifestyle,1," 81,681 "," 89,849 ",Zilingo Pick Up,62631,Jawa Timur
2019-01-02 00:01:00,SO27737,44,ZILINGO,69728,Lifestyle,1," 127,136 "," 139,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27738,44,ZILINGO,67429,Outdoor,1," 154,409 "," 169,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27739,44,ZILINGO,67637,Outdoor,1," 195,318 "," 214,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27740,44,ZILINGO,64708,Lifestyle,1," 195,318 "," 214,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27741,45,ZILINGO,69676,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,78121,Kalimantan Barat
2019-01-02 00:01:00,SO27742,46,ZILINGO,66878,Work,1," 190,772 "," 209,849 ",Zilingo Pick Up,21258,Sumatera Utara
2019-01-02 00:01:00,SO27745,47,ZILINGO,67350,Outdoor,1," 140,772 "," 154,849 ",Zilingo Pick Up,73514,Kalimantan Tengah
2019-01-02 00:01:00,SO27745,47,ZILINGO,60442,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,73514,Kalimantan Tengah
2019-01-02 00:01:00,SO27746,48,ZILINGO,67649,Lifestyle,1," 399,863 "," 439,849 ",Zilingo Pick Up,20133,Sumatera Utara
2019-01-02 00:01:00,SO27747,49,ZILINGO,60490,Riding,1," 127,136 "," 139,850 ",Zilingo Pick Up,59573,Jawa Tengah
2019-01-02 00:01:00,SO27748,50,ZILINGO,60262,Outdoor,1," 263,500 "," 289,850 ",Zilingo Pick Up,12760,DKI Jakarta
2019-01-02 00:01:00,SO27749,51,ZILINGO,60448,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,15562,Banten
2019-01-02 00:01:00,SO27750,52,ZILINGO,64066,Work,1," 254,409 "," 279,850 ",Zilingo Pick Up,50213,Jawa Tengah
2019-01-02 00:01:00,SO27751,53,ZILINGO,67612,Outdoor,1," 193,500 "," 212,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27752,44,ZILINGO,67612,Outdoor,1," 193,500 "," 212,850 ",Zilingo Pick Up,63473,Jawa Timur
2019-01-02 00:01:00,SO27753,54,ZILINGO,60259,Outdoor,1," 186,227 "," 204,850 ",Zilingo Pick Up,77372,Kalimantan Timur
2019-01-02 00:01:00,SO27754,55,ZILINGO,65190,Outdoor,1," 104,409 "," 114,850 ",Zilingo Pick Up,97511,Maluku
2019-01-02 00:01:00,SO27696,56,ZILINGO,67661,Outdoor,1," 127,136 "," 139,850 ",Zilingo Pick Up,38511,Bengkulu
2019-01-02 00:01:00,SO27697,57,ZILINGO,64754,Lifestyle,1," 81,681 "," 89,849 ",Zilingo Pick Up,59333,Jawa Tengah
2019-01-02 00:01:00,SO27698,58,ZILINGO,67688,Riding,1," 90,772 "," 99,849 ",Zilingo Pick Up,35367,Lampung
2019-01-02 00:01:00,SO27699,59,ZILINGO,71063,Riding,1," 149,863 "," 164,849 ",Zilingo Pick Up,20361,Sumatera Utara
2019-01-02 00:01:00,SO27700,60,ZILINGO,64753,Outdoor,1," 90,772 "," 99,849 ",Zilingo Pick Up,59582,jawa tengah
2019-01-02 00:01:00,SO27701,61,ZILINGO,60447,Outdoor,1," 133,500 "," 146,850 ",Zilingo Pick Up,21421,Sumatera Utara
2019-01-02 00:01:00,SO27702,62,ZILINGO,69676,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,60181,jawa timur
2019-01-02 00:01:00,SO27703,63,ZILINGO,67427,Lifestyle,2," 40,772 "," 44,849 ",Zilingo Pick Up,95127,Sulawesi Utara
2019-01-02 00:01:00,SO27704,64,ZILINGO,67671,Lifestyle,1," 127,136 "," 139,850 ",Zilingo Pick Up,61257,Jawa Timur
2019-01-02 00:01:00,SO27705,65,ZILINGO,60244,Outdoor,1," 204,409 "," 224,850 ",Zilingo Pick Up,33697,bangka belitung
2019-01-02 00:01:00,SO27706,43,ZILINGO,67636,Outdoor,1," 186,227 "," 204,850 ",Zilingo Pick Up,62631,Jawa Timur
2019-01-02 00:01:00,SO27707,66,ZILINGO,67679,Lifestyle,1," 133,500 "," 146,850 ",Zilingo Pick Up,59452,Jawa Tengah
2019-01-02 00:01:00,SO27707,66,ZILINGO,60495,Riding,1," 127,136 "," 139,850 ",Zilingo Pick Up,59452,Jawa Tengah
2019-01-02 00:01:00,SO27708,43,ZILINGO,67637,Outdoor,1," 195,318 "," 214,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27709,43,ZILINGO,67636,Outdoor,1," 186,227 "," 204,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27710,43,ZILINGO,67636,Outdoor,1," 186,227 "," 204,850 ",Zilingo Pick Up,62631,jawa timur
2019-01-02 00:01:00,SO27711,67,ZILINGO,69676,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,40381,jawa barat
